timestamp,mean,mutations,chest,ticket
1504145287,0.73429418,1162834,1502,0.00000050
1504145294,0.73343684,1163552,1513,0
1504145308,0.72743201,1165071,1518,0.00000000
1504145332,0.72344261,1167782,1524,0.00000742
1504145354,0.72606055,1170124,1527,0.00064475
1504145382,0.74326732,1173315,1528,0.00000000
1504145394,0.73261164,1174743,1533,0.00002122
1504145412,0.75419338,1176756,1542,0.00002676
1504145486,0.73300600,1184864,1548,0.00000504
1504145546,0.73680006,1191333,1549,0.00000021
1504145547,0.72459200,1191421,1554,0.00000009
1504145590,0.72596154,1196193,1557,0.00000066
1504145600,0.72597871,1197263,1564,0.00000011
1504145664,0.73587775,1204319,1569,0.00230415
1504145666,0.73640413,1204478,1575,0.01666667
1504145801,0.72151442,1219431,1581,0.00018038
1504145859,0.73707975,1225781,1586,0.00001891
1504145929,0.72452668,1233384,1593,0.00000014
1504145943,0.72459200,1234904,1595,0.00000017
1504145979,0.72627147,1238885,1597,0.00000380
1504146097,0.73104968,1251689,1604,0.00026709
1504146121,0.73697801,1254362,1605,0.00046296
1504146163,0.73553931,1259005,1609,0.00000001
1504146173,0.73372690,1260139,1609,0.00000748
1504146199,0.73055449,1262870,1615,0.00000000
1504146226,0.72120619,1265891,1618,0.00042882
1504146231,0.72470736,1266352,1626,0.00000000
1504146284,0.73463994,1272245,1631,0.00111607
1504146286,0.72973664,1272493,1636,0.00006079
1504146560,0.73131879,1302428,1642,0.00037202
1504146589,0.72419872,1305601,1646,0.00058275
1504146660,0.72577124,1313198,1651,0.00000068
1504146736,0.73495192,1321022,1655,0.00000027
1504146763,0.72273680,1323596,1659,0.00028802
1504146817,0.72918384,1328978,1660,0.00000000
1504146824,0.73958333,1329718,1665,0.00009019
1504146848,0.73386218,1331909,1671,0.00000009
1504146859,0.72643254,1332773,1679,0.00029806
1504146886,0.72127124,1334615,1686,0.00001329
1504146933,0.72775920,1338241,1692,0.00012860
1504146936,0.74395268,1338539,1697,0.00001417
1504146957,0.72325808,1340501,1704,0.00000076
1504147088,0.72991779,1350577,1713,0.00000000
1504147203,0.73758796,1360774,1719,0.00000000
1504147213,0.73177367,1361536,1723,0.00004175
1504147301,0.72756410,1367613,1726,0.00000000
1504147459,0.72760591,1369291,1732,0.00000000
